,Rank, University, Size, M10, G10, P10, C40, C60, C80, USN, Scholar, ID,University,ID,school
162,163, Michigan Technological University  ,16,17.5,17.72898,0.12220999999999999,0,0,0,0.0,1.492048,46,Michigan Technological University,46,Michigan Technological University 
163,164, North Dakota State University  ,7,18.0,14.84027,0.129219,0,0,0,0.0,1.47434,57,North Dakota State University,57,North Dakota State University 
164,165, University of Idaho  ,13,19.0,11.3848,0.139902,0,0,0,0.0,1.452862,113,University of Idaho,113,University of Idaho
165,166, Oklahoma State University  ,12,16.5,11.5839,0.11661700000000001,0,0,0,0.0,1.437326,63,Oklahoma State University,63,Oklahoma State University 
166,167, Nova Southeastern University  ,26,1.0,4.72985,0.09812699999999999,1,1,0,0.0,1.434252,60,Nova Southeastern University,60,Nova Southeastern University 
167,168, New Mexico Institute of Mining and Technology  ,7,11.0,10.98965,0.070758,0,0,0,0.0,1.388739,52,New Mexico Institute of Mining and Technology,52,New Mexico Institute of Mining and Technology 
168,169, University of Nebraska - Omaha  ,17,12.5,8.727463,0.104479,0,0,0,0.0,1.380162,134,University of Nebraska - Omaha,134,University of Nebraska - Omaha 
169,170, University of Colorado - Denver  ,10,8.0,12.24885,0.092535,0,0,0,0.0,1.371251,105,University of Colorado - Denver,105,University of Colorado - Denver 
170,171, Louisiana Tech University  ,6,6.5,4.527019,0.075,0,0,0,0.0,1.273982,43,Louisiana Tech University,43,Louisiana Tech University 
171,172, Indiana State University  ,7,0.0,2.359611,0.058709000000000004,0,0,0,0.0,1.090726,34,Indiana State University,34,Indiana State University 
172,173, LIU Post  ,4,0.0,1.0,0.013363,0,0,0,0.0,1.0590620000000002,40,LIU Post,40,LIU Post 
